isbn,id,authors,timestamp,publisher,title,cover,series,tags,languages
"","2","Николай Федорович Замяткин","2013-12-06T17:06:27+03:00","","ВАС НЕВОЗМОЖНО НАУЧИТЬИНОСТРАННОМУ ЯЗЫКУ","T:\ports\PortableApps\Calibre Portable\Calibre Library\Nikolai Fiedorovich Zamiatkin\VAS NIeVOZMOZhNO NAUChIT'INOSTRANNOM (2)\cover.jpg","","","rus"
"","8","Неизв.","2013-12-06T17:07:25+03:00","","Аннет Симмонс Сторителлинг. Как использовать силу историй","T:\ports\PortableApps\Calibre Portable\Calibre Library\Nieizv_\Anniet Simmons Storitiellingh. Kak i (8)\cover.jpg","","",""
"","10","Фрэнсис Пол Вилсон & С. Алукард & В. Терещенко","2013-12-06T17:07:30+03:00","","Застава","T:\ports\PortableApps\Calibre Portable\Calibre Library\Frensis Pol Vilson\Zastava (10)\cover.jpg","","","rus"
"","11","Дуглас Ноэль Адамс & Владимир Игоревич Баканов & В. И. Генкин & Светлана В. Силакова & Douglas Noel Adams","2013-12-06T17:07:31+03:00","","Автостопом по Галактике. Ресторан «У конца Вселенной»","T:\ports\PortableApps\Calibre Portable\Calibre Library\Dughlas Noel' Adams\Avtostopom po Galaktikie. Riestoran  (11)\cover.jpg","","","eng"
"","12","Джон Стейнбек & Наталья Альбертовна Волжина & Евгения Давыдовна Калашникова & John Steinbeck","2013-12-06T17:07:32+03:00","","Зима тревоги нашей","T:\ports\PortableApps\Calibre Portable\Calibre Library\Dzhon Stieinbiek\Zima trievoghi nashiei (12)\cover.jpg","","","eng"
"","13","Сомерсет Моэм","2013-12-06T17:07:33+03:00","","Луна и грош","","","","rus"
"","14","Сомерсет Моэм & Г. Островская","2013-12-06T17:07:33+03:00","","Театр","T:\ports\PortableApps\Calibre Portable\Calibre Library\Somiersiet Moem\Tieatr (14)\cover.jpg","","","rus"
"","15","Сомерсет Моэм & Марина Лорие","2013-12-06T17:07:34+03:00","","Острие бритвы","T:\ports\PortableApps\Calibre Portable\Calibre Library\Somiersiet Moem\Ostriie britvy (15)\cover.jpg","","","rus"
"9785170781249","16","Джордж Мартин","2013-12-06T17:07:35+03:00","Астрель","Танец с драконами. Искры над пеплом","T:\ports\PortableApps\Calibre Portable\Calibre Library\Dzhordzh Martin\Taniets s drakonami. Iskry nad piepl (16)\cover.jpg","","","rus"
"","17","Ричард Старк","2013-12-06T17:07:36+03:00","","Охотник","T:\ports\PortableApps\Calibre Portable\Calibre Library\Richard Stark\Okhotnik (17)\cover.jpg","","","rus"
"9785271463495","19","Джордж Р. Р. Мартин","2013-12-06T17:07:36+03:00","Астрель","Танец с драконами. Грезы и пыль","T:\ports\PortableApps\Calibre Portable\Calibre Library\Dzhordzh R. R. Martin\Taniets s drakonami. Griezy i pyl' (19)\cover.jpg","","","rus"
"","20","Джордж Мартин & Юрий Соколов & George R. R. Martin","2013-12-06T17:07:37+03:00","","Игра престолов","T:\ports\PortableApps\Calibre Portable\Calibre Library\Dzhordzh Martin\Ighra priestolov (20)\cover.jpg","","","eng"
"","21","Джордж Мартин & Н. Виленская & George R. R. Martin","2013-12-06T17:07:39+03:00","","Битва королей","T:\ports\PortableApps\Calibre Portable\Calibre Library\Dzhordzh Martin\Bitva koroliei (21)\cover.jpg","","","eng"
"","22","Джордж Мартин & Н Виленская & George R. R. Martin","2013-12-06T17:07:40+03:00","","Буря мечей","T:\ports\PortableApps\Calibre Portable\Calibre Library\Dzhordzh Martin\Buria miechiei (22)\cover.jpg","","","eng"
"","23","Джордж Мартин & Н. И. Виленская & George R. R. Martin","2013-12-06T17:07:42+03:00","","Пир стервятников","T:\ports\PortableApps\Calibre Portable\Calibre Library\Dzhordzh Martin\Pir stierviatnikov (23)\cover.jpg","","","eng"
"","24","О'Генри","2013-12-06T17:07:43+03:00","","Дары волхвов","","","","rus"
"","25","Эрих Мария Ремарк & Исидор Шрайбер & Борис Г. Кремнев","2013-12-06T17:07:44+03:00","","Триумфальная арка","T:\ports\PortableApps\Calibre Portable\Calibre Library\Erikh Mariia Riemark\Triumfal'naia arka (25)\cover.jpg","","","rus"
"","26","Чак Паланик & Владимир Завгородний","2013-12-06T17:07:44+03:00","","Бойцовский клуб (пер. В. Завгородний)","T:\ports\PortableApps\Calibre Portable\Calibre Library\Chak Palanik\Boitsovskii klub (pier. V. Zavghorod (26)\cover.jpg","","","rus"
"","27","Daniel Keyes & С. Шаров","2013-12-06T17:07:45+03:00","","Цветы для Элджернона (роман)","T:\ports\PortableApps\Calibre Portable\Calibre Library\Daniel Keyes\Tsviety dlia Eldzhiernona (roman) (27)\cover.jpg","","","rus"
"","29","Бернард Шоу","2013-12-06T17:07:46+03:00","издательство «Правда»","Дом, где разбиваются сердца","","","","rus"
"","30","Даглас Р. Хофштадтер","2013-12-06T17:07:47+03:00","Издательский Дом «Бахрах-М», 2001.","ГЕДЕЛЬ, ЭШЕР, БАХ: эта бесконечная гирлянда","","","","rus"
"","31","Станислав Лем & А. Г. Громовой & Д. И. Иорданского & Р. И. Нудельмана & Б. Н. Пановкина & Л. Р. Плинера & Р. А. Трофимова & Ю. А. Ярошевского","2013-12-06T17:07:49+03:00","","Сумма технологии","T:\ports\PortableApps\Calibre Portable\Calibre Library\Stanislav Liem\Summa tiekhnologhii (31)\cover.jpg","","","rus"
"","32","Аркадий Фидлер & Вл. Киселев","2013-12-06T17:07:50+03:00","","Ориноко","T:\ports\PortableApps\Calibre Portable\Calibre Library\Arkadii Fidlier\Orinoko (32)\cover.jpg","","","rus"
